recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_title
28,7,3140.2999999999997,3,3,3,333,Gold
194,2,217.05999999999995,1,1,1,111,Bronze
34,6,5034.16,3,2,4,324,Gold
43,5,3268.4,3,2,3,323,Gold
18,6,2204.48,4,2,2,422,Platinum
75,4,2446.5099999999998,2,1,2,212,Silver
0,7,5665.410000000001,4,3,4,434,Platinum
158,2,1966.88,1,1,2,112,Bronze
64,7,5522.509999999999,2,3,4,234,Silver
23,5,683.6300000000001,3,2,1,321,Gold
8,3,1088.42,4,1,1,411,Gold
16,5,3095.3699999999994,4,2,3,423,Platinum
135,4,492.2299999999999,1,1,1,111,Bronze
65,6,4627.35,2,2,4,224,Silver
66,6,2935.3700000000003,2,2,3,223,Silver
93,2,2614.16,1,1,2,112,Bronze
159,1,459.46000000000015,1,1,1,111,Bronze
98,3,1329.61,1,1,1,111,Bronze
114,2,1101.28,1,1,1,111,Bronze
198,3,786.1400000000001,1,1,1,111,Bronze
8,9,6182.52,4,4,4,444,Platinum
63,8,4197.44,2,4,4,244,Silver
14,9,5993.34,4,4,4,444,Platinum
61,3,696.26,2,1,1,211,Bronze
100,4,1820.8100000000002,1,1,1,111,Bronze
18,8,4833.14,4,4,4,444,Platinum
11,7,2348.66,4,3,2,432,Platinum
15,9,6549.509999999998,4,4,4,444,Platinum
11,10,7628.24,4,4,4,444,Platinum
64,5,2170.54,2,2,2,222,Silver
22,5,3090.07,3,2,3,323,Gold
37,12,4108.599999999999,3,4,3,343,Gold
32,4,2184.58,3,1,2,312,Gold
40,3,1814.59,3,1,1,311,Silver
11,7,4065.35,4,3,3,433,Platinum
50,5,2365.24,2,2,2,222,Silver
13,7,5409.12,4,3,4,434,Platinum
102,6,3187.84,1,2,3,123,Bronze
32,3,2181.35,3,1,2,312,Gold
8,7,3547.68,4,3,3,433,Platinum
23,6,2166.17,3,2,2,322,Gold
14,7,3014.8799999999997,4,3,3,433,Platinum
15,6,2658.87,4,2,2,422,Platinum
3,5,5329.98,4,2,4,424,Platinum
29,4,704.2800000000002,3,1,1,311,Silver
105,1,834.9399999999999,1,1,1,111,Bronze
79,4,1519.4700000000003,2,1,1,211,Bronze
24,5,2551.5,3,2,2,322,Gold
108,3,2608.28,1,1,2,112,Bronze
0,7,9633.409999999998,4,3,4,434,Platinum
146,8,3737.9999999999995,1,4,3,143,Bronze
27,9,3651.7100000000005,3,4,3,343,Gold
58,9,6631.87,2,4,4,244,Silver
15,4,2650.5299999999997,4,1,2,412,Platinum
7,9,7283.86,4,4,4,444,Platinum
28,8,4369.02,3,4,4,344,Gold
18,3,1295.91,4,1,1,411,Gold
11,5,1481.12,4,2,1,421,Platinum
27,8,6287.29,3,4,4,344,Gold
52,9,2008.2699999999998,2,4,2,242,Silver
77,4,3816.6499999999996,2,1,3,213,Silver
279,3,1630.03,1,1,1,111,Bronze
27,5,3342.02,3,2,3,323,Gold
107,5,3081.0700000000006,1,2,3,123,Bronze
22,6,2957.03,3,2,3,323,Gold
39,9,4090.05,3,4,3,343,Gold
187,2,1790.41,1,1,1,111,Bronze
28,11,8544.5,3,4,4,344,Gold
56,6,2498.8399999999997,2,2,2,222,Silver
3,8,3889.3900000000003,4,4,3,443,Platinum
16,4,2152.05,4,1,2,412,Platinum
4,8,2335.6900000000005,4,4,2,442,Platinum
14,4,1476.17,4,1,1,411,Gold
40,6,1688.33,3,2,1,321,Gold
15,6,4304.11,4,2,4,424,Platinum
18,6,3865.6800000000003,4,2,3,423,Platinum
20,2,1428.06,3,1,1,311,Silver
52,7,4410.07,2,3,4,234,Silver
1,6,3692.09,4,2,3,423,Platinum
37,3,1587.5499999999997,3,1,1,311,Silver
116,2,1173.8600000000001,1,1,1,111,Bronze
26,5,3906.03,3,2,3,323,Gold
77,5,3719.75,2,2,3,223,Silver
60,5,1811.84,2,2,1,221,Silver
36,11,5319.63,3,4,4,344,Gold
45,4,2344.5200000000004,2,1,2,212,Silver
141,6,3157.59,1,2,3,123,Bronze
17,6,2187.09,4,2,2,422,Platinum
11,9,5763.13,4,4,4,444,Platinum
2,11,4685.82,4,4,4,444,Platinum
6,4,2434.64,4,1,2,412,Platinum
26,8,3635.04,3,4,3,343,Gold
107,5,3112.57,1,2,3,123,Bronze
1,9,5928.23,4,4,4,444,Platinum
88,6,2338.21,1,2,2,122,Bronze
47,4,1922.82,2,1,2,212,Silver
131,7,2558.7,1,3,2,132,Bronze
74,5,2193.55,2,2,2,222,Silver
194,3,3269.2,1,1,3,113,Bronze
12,5,2213.0199999999995,4,2,2,422,Platinum
27,9,3174.16,3,4,3,343,Gold
112,7,4913.16,1,3,4,134,Bronze
134,7,3193.3199999999993,1,3,3,133,Bronze
47,9,2236.13,2,4,2,242,Silver
31,7,4019.05,3,3,3,333,Gold
38,4,1209.9999999999998,3,1,1,311,Silver
62,5,2597.64,2,2,2,222,Silver
17,5,1191.29,4,2,1,421,Platinum
41,7,6780.95,3,3,4,334,Gold
57,11,6813.82,2,4,4,244,Silver
0,5,1728.6599999999999,4,2,1,421,Platinum
92,5,3650.53,1,2,3,123,Bronze
18,5,1642.58,4,2,1,421,Platinum
27,4,2124.65,3,1,2,312,Gold
8,9,3381.41,4,4,3,443,Platinum
50,9,4033.1499999999996,2,4,3,243,Silver
10,5,2117.8599999999997,4,2,2,422,Platinum
46,7,3476.94,2,3,3,233,Silver
48,4,1025.2999999999997,2,1,1,211,Bronze
79,4,2692.9100000000003,2,1,2,212,Silver
32,4,1742.83,3,1,1,311,Silver
69,4,2713.19,2,1,2,212,Silver
168,5,1668.8500000000001,1,2,1,121,Bronze
7,7,4625.21,4,3,4,434,Platinum
202,2,1026.2700000000002,1,1,1,111,Bronze
91,7,3842.0699999999993,1,3,3,133,Bronze
28,10,6519.24,3,4,4,344,Gold
149,4,790.0600000000001,1,1,1,111,Bronze
132,7,4141.68,1,3,3,133,Bronze
3,6,1107.9499999999998,4,2,1,421,Platinum
21,4,1967.13,3,1,2,312,Gold
248,1,827.1599999999999,1,1,1,111,Bronze
14,6,2455.93,4,2,2,422,Platinum
43,11,7360.53,3,4,4,344,Gold
9,4,2233.67,4,1,2,412,Platinum
69,2,624.15,2,1,1,211,Bronze
91,6,4926.57,1,2,4,124,Bronze
133,5,3251.4199999999996,1,2,3,123,Bronze
7,6,2626.74,4,2,2,422,Platinum
137,4,1954.7,1,1,2,112,Bronze
138,1,1408.91,1,1,1,111,Bronze
44,4,1808.7299999999998,3,1,1,311,Silver
44,9,3924.11,3,4,3,343,Gold
40,2,605.01,3,1,1,311,Silver
58,7,3631.6000000000004,2,3,3,233,Silver
10,5,1991.9300000000003,4,2,2,422,Platinum
115,7,5509.669999999999,1,3,4,134,Bronze
34,7,4539.9,3,3,4,334,Gold
8,3,2515.29,4,1,2,412,Platinum
8,4,3599.1800000000003,4,1,3,413,Platinum
8,10,5285.59,4,4,4,444,Platinum
92,7,6897.92,1,3,4,134,Bronze
156,5,3475.9,1,2,3,123,Bronze
93,2,89.71000000000001,1,1,1,111,Bronze
276,2,255.41000000000014,1,1,1,111,Bronze
43,3,3247.08,3,1,3,313,Gold
80,9,2785.04,2,4,2,242,Silver
33,7,2700.88,3,3,2,332,Gold
123,2,239.35000000000002,1,1,1,111,Bronze
15,9,3660.9499999999994,4,4,3,443,Platinum
25,6,4086.2099999999996,3,2,3,323,Gold
9,4,2208.58,4,1,2,412,Platinum
8,7,4744.19,4,3,4,434,Platinum
61,6,4054.4800000000005,2,2,3,223,Silver
13,6,5001.71,4,2,4,424,Platinum
17,6,3186.6300000000006,4,2,3,423,Platinum
20,8,3200.15,3,4,3,343,Gold
27,9,2200.11,3,4,2,342,Gold
11,4,2158.71,4,1,2,412,Platinum
51,5,3537.3900000000003,2,2,3,223,Silver
9,7,3632.1800000000003,4,3,3,433,Platinum
71,5,3955.91,2,2,3,223,Silver
12,10,7204.66,4,4,4,444,Platinum
12,5,2006.18,4,2,2,422,Platinum
1,12,10341.57,4,4,4,444,Platinum
35,6,2020.7300000000002,3,2,2,322,Gold
21,5,1779.7,3,2,1,321,Gold
133,6,4465.08,1,2,4,124,Bronze
161,3,1201.2499999999998,1,1,1,111,Bronze
16,5,3498.63,4,2,3,423,Platinum
4,8,2357.8,4,4,2,442,Platinum
34,6,3618.01,3,2,3,323,Gold
107,6,5296.799999999999,1,2,4,124,Bronze
82,6,4404.67,2,2,4,224,Silver
263,2,239.35000000000002,1,1,1,111,Bronze
22,7,3320.1000000000004,3,3,3,333,Gold
56,6,2127.59,2,2,2,222,Silver
24,2,456.9899999999999,3,1,1,311,Silver
82,5,2598.16,2,2,2,222,Silver
37,6,3388.8199999999997,3,2,3,323,Gold
10,7,2343.71,4,3,2,432,Platinum
58,5,4327.24,2,2,4,224,Silver
30,8,2781.3599999999997,3,4,2,342,Gold
134,2,955.0799999999999,1,1,1,111,Bronze
93,4,667.1499999999999,1,1,1,111,Bronze
103,9,5193.56,1,4,4,144,Bronze
8,9,8101.26,4,4,4,444,Platinum
19,7,3971.46,3,3,3,333,Gold
12,9,6420.7,4,4,4,444,Platinum
59,7,8326.369999999999,2,3,4,234,Silver
125,6,2071.99,1,2,2,122,Bronze
166,5,1669.26,1,2,1,121,Bronze
4,6,1008.7100000000003,4,2,1,421,Platinum
11,2,1438.6200000000001,4,1,1,411,Gold
25,6,4404.4,3,2,4,324,Gold
23,11,6792.83,3,4,4,344,Gold
67,6,3101.72,2,2,3,223,Silver
45,5,2662.75,2,2,2,222,Silver
61,5,2358.0,2,2,2,222,Silver
15,8,4455.49,4,4,4,444,Platinum
70,2,1405.99,2,1,1,211,Bronze
8,10,2921.7599999999998,4,4,3,443,Platinum
8,5,5070.23,4,2,4,424,Platinum
146,7,3428.15,1,3,3,133,Bronze
0,5,1473.04,4,2,1,421,Platinum
14,6,9458.169999999998,4,2,4,424,Platinum
11,6,3329.9700000000003,4,2,3,423,Platinum
50,7,4724.04,2,3,4,234,Silver
115,6,2692.7,1,2,2,122,Bronze
43,6,3634.4500000000003,3,2,3,323,Gold
13,9,3939.73,4,4,3,443,Platinum
101,8,3931.77,1,4,3,143,Bronze
111,7,3290.26,1,3,3,133,Bronze
9,5,5004.52,4,2,4,424,Platinum
31,8,2598.13,3,4,2,342,Gold
223,1,1103.43,1,1,1,111,Bronze
13,6,5271.75,4,2,4,424,Platinum
91,4,487.99999999999994,1,1,1,111,Bronze
43,3,368.1700000000001,3,1,1,311,Silver
6,12,4276.97,4,4,4,444,Platinum
124,7,3236.3199999999997,1,3,3,133,Bronze
145,2,640.9300000000001,1,1,1,111,Bronze
35,8,6196.16,3,4,4,344,Gold
2,8,4534.240000000001,4,4,4,444,Platinum
35,7,1657.4499999999998,3,3,1,331,Gold
51,3,987.4899999999999,2,1,1,211,Bronze
85,5,2917.5899999999997,2,2,3,223,Silver
78,9,5220.5199999999995,2,4,4,244,Silver
66,5,2415.9700000000003,2,2,2,222,Silver
31,3,3417.7799999999997,3,1,3,313,Gold
55,3,1834.03,2,1,1,211,Bronze
113,6,2123.26,1,2,2,122,Bronze
76,6,1511.2,2,2,1,221,Silver
56,4,1315.06,2,1,1,211,Bronze
101,7,5025.31,1,3,4,134,Bronze
146,2,866.5799999999999,1,1,1,111,Bronze
45,8,5445.46,2,4,4,244,Silver
30,7,4597.740000000001,3,3,4,334,Gold
29,6,4647.13,3,2,4,324,Gold
45,5,2618.0,2,2,2,222,Silver
12,7,938.4999999999998,4,3,1,431,Platinum
49,6,5020.5,2,2,4,224,Silver
134,5,2688.92,1,2,2,122,Bronze
29,7,3643.03,3,3,3,333,Gold
56,6,4965.429999999999,2,2,4,224,Silver
56,6,3653.69,2,2,3,223,Silver
18,9,4965.7,4,4,4,444,Platinum
14,6,3338.34,4,2,3,423,Platinum
106,6,3486.1399999999994,1,2,3,123,Bronze
9,9,4096.06,4,4,3,443,Platinum
17,5,3082.2799999999997,4,2,3,423,Platinum
13,4,2267.84,4,1,2,412,Platinum
6,7,2177.93,4,3,2,432,Platinum
187,5,2553.83,1,2,2,122,Bronze
27,3,1055.03,3,1,1,311,Silver
167,5,3822.8,1,2,3,123,Bronze
47,6,2304.56,2,2,2,222,Silver
248,2,1490.77,1,1,1,111,Bronze
88,5,3085.98,1,2,3,123,Bronze
70,7,3807.6400000000003,2,3,3,233,Silver
28,6,3325.1299999999997,3,2,3,323,Gold
14,7,5027.37,4,3,4,434,Platinum
59,10,3652.17,2,4,3,243,Silver
56,6,3952.15,2,2,3,223,Silver
133,4,2390.84,1,1,2,112,Bronze
141,5,1589.8199999999997,1,2,1,121,Bronze
74,7,4525.19,2,3,4,234,Silver
25,7,7388.6,3,3,4,334,Gold
59,9,6933.15,2,4,4,244,Silver
109,4,2515.6800000000003,1,1,2,112,Bronze
51,8,3355.1099999999997,2,4,3,243,Silver
18,8,3652.26,4,4,3,443,Platinum
65,6,5625.17,2,2,4,224,Silver
138,1,1215.34,1,1,1,111,Bronze
21,8,5110.17,3,4,4,344,Gold
15,9,3754.1600000000003,4,4,3,443,Platinum
297,2,1027.8899999999999,1,1,1,111,Bronze
102,4,4727.75,1,1,4,114,Bronze
50,3,2124.71,2,1,2,212,Silver
48,6,3045.6,2,2,3,223,Silver
51,8,7692.389999999999,2,4,4,244,Silver
99,6,2750.24,1,2,2,122,Bronze
11,8,2481.1899999999996,4,4,2,442,Platinum
62,3,1750.76,2,1,1,211,Bronze
13,7,2789.25,4,3,2,432,Platinum
205,6,3171.14,1,2,3,123,Bronze
45,7,3807.46,2,3,3,233,Silver
24,11,8081.860000000001,3,4,4,344,Gold
52,8,5363.3,2,4,4,244,Silver
0,6,2781.88,4,2,2,422,Platinum
188,4,2413.0800000000004,1,1,2,112,Bronze
133,6,3292.4,1,2,3,123,Bronze
82,4,3178.3,2,1,3,213,Silver
24,5,1561.59,3,2,1,321,Gold
67,3,1600.9,2,1,1,211,Bronze
88,5,2183.0999999999995,1,2,2,122,Bronze
115,5,3680.3399999999997,1,2,3,123,Bronze
26,5,1247.24,3,2,1,321,Gold
38,5,2402.4,3,2,2,322,Gold
17,4,2017.6600000000003,4,1,2,412,Platinum
20,8,5722.38,3,4,4,344,Gold
142,6,3600.26,1,2,3,123,Bronze
59,7,3829.7,2,3,3,233,Silver
9,6,2102.9900000000002,4,2,2,422,Platinum
4,6,3488.79,4,2,3,423,Platinum
40,7,2813.66,3,3,2,332,Gold
169,6,3850.32,1,2,3,123,Bronze
94,6,4063.5899999999997,1,2,3,123,Bronze
101,10,4177.21,1,4,4,144,Bronze
9,7,1890.57,4,3,2,432,Platinum
48,6,3918.11,2,2,3,223,Silver
49,5,3309.7900000000004,2,2,3,223,Silver
115,9,8364.66,1,4,4,144,Bronze
97,2,1520.73,1,1,1,111,Bronze
24,7,2907.28,3,3,3,333,Gold
9,4,1353.61,4,1,1,411,Gold
35,5,3375.06,3,2,3,323,Gold
3,9,3320.21,4,4,3,443,Platinum
76,9,3335.2,2,4,3,243,Silver
14,2,1617.2099999999998,4,1,1,411,Gold
75,10,5887.2,2,4,4,244,Silver
40,7,2307.7799999999997,3,3,2,332,Gold
19,5,1704.78,3,2,1,321,Gold
14,6,2715.28,4,2,2,422,Platinum
91,5,4915.7699999999995,1,2,4,124,Bronze
139,2,687.5100000000001,1,1,1,111,Bronze
27,7,1172.1,3,3,1,331,Gold
124,5,2073.68,1,2,2,122,Bronze
53,9,4593.01,2,4,4,244,Silver
68,7,2735.71,2,3,2,232,Silver
89,4,2707.9,1,1,2,112,Bronze
75,3,151.93999999999997,2,1,1,211,Bronze
133,3,894.9899999999998,1,1,1,111,Bronze
128,6,4087.0399999999995,1,2,3,123,Bronze
45,4,1310.7700000000002,2,1,1,211,Bronze
59,4,1061.48,2,1,1,211,Bronze
7,7,4982.41,4,3,4,434,Platinum
55,11,4043.58,2,4,3,243,Silver
24,8,3977.81,3,4,3,343,Gold
128,4,1392.59,1,1,1,111,Bronze
131,5,2959.58,1,2,3,123,Bronze
83,3,1280.6399999999999,2,1,1,211,Bronze
136,8,2714.7599999999998,1,4,2,142,Bronze
14,5,3369.4700000000003,4,2,3,423,Platinum
56,10,6985.240000000001,2,4,4,244,Silver
36,7,4290.77,3,3,4,334,Gold
155,6,3533.36,1,2,3,123,Bronze
89,6,4389.73,1,2,4,124,Bronze
59,2,1694.59,2,1,1,211,Bronze
11,5,2782.8799999999997,4,2,2,422,Platinum
95,4,1136.3400000000001,1,1,1,111,Bronze
123,5,2144.29,1,2,2,122,Bronze
14,9,6986.24,4,4,4,444,Platinum
19,10,4722.21,3,4,4,344,Gold
10,6,2632.16,4,2,2,422,Platinum
261,3,938.2500000000001,1,1,1,111,Bronze
55,4,2326.39,2,1,2,212,Silver
16,5,819.2600000000001,4,2,1,421,Platinum
154,2,624.9000000000001,1,1,1,111,Bronze
41,4,1663.83,3,1,1,311,Silver
18,6,2795.7700000000004,4,2,2,422,Platinum
138,7,2024.53,1,3,2,132,Bronze
119,8,3584.83,1,4,3,143,Bronze
43,2,1694.76,3,1,1,311,Silver
134,7,4175.150000000001,1,3,4,134,Bronze
12,6,2339.14,4,2,2,422,Platinum
162,3,1751.35,1,1,1,111,Bronze
61,5,1761.46,2,2,1,221,Silver
28,6,3920.83,3,2,3,323,Gold
2,6,5387.05,4,2,4,424,Platinum
6,8,4809.95,4,4,4,444,Platinum
73,2,1261.57,2,1,1,211,Bronze
32,4,3662.2999999999993,3,1,3,313,Gold
49,3,825.73,2,1,1,211,Bronze
4,7,6447.15,4,3,4,434,Platinum
36,8,1676.43,3,4,1,341,Gold
79,6,1821.0300000000002,2,2,1,221,Silver
137,5,2755.28,1,2,2,122,Bronze
38,6,2098.52,3,2,2,322,Gold
0,5,1924.15,4,2,2,422,Platinum
173,4,2246.42,1,1,2,112,Bronze
6,6,5665.789999999999,4,2,4,424,Platinum
37,5,4449.529999999999,3,2,4,324,Gold
74,6,2901.19,2,2,3,223,Silver
40,8,3751.75,3,4,3,343,Gold
14,5,1437.7199999999998,4,2,1,421,Platinum
152,4,2850.0,1,1,3,113,Bronze
159,4,1577.7000000000003,1,1,1,111,Bronze
19,6,2566.2700000000004,3,2,2,322,Gold
38,3,1670.6699999999998,3,1,1,311,Silver
165,4,3505.63,1,1,3,113,Bronze
9,5,3985.03,4,2,3,423,Platinum
181,2,830.3100000000001,1,1,1,111,Bronze
35,7,3513.02,3,3,3,333,Gold
6,4,1824.48,4,1,1,411,Gold
41,6,3583.46,3,2,3,323,Gold
28,6,2891.59,3,2,3,323,Gold
36,5,2125.01,3,2,2,322,Gold
33,7,1931.1299999999999,3,3,2,332,Gold
11,6,2143.39,4,2,2,422,Platinum
104,10,7079.07,1,4,4,144,Bronze
52,3,2145.56,2,1,2,212,Silver
60,4,439.57000000000005,2,1,1,211,Bronze
91,7,1258.1,1,3,1,131,Bronze
98,4,6084.139999999999,1,1,4,114,Bronze
35,6,3446.07,3,2,3,323,Gold
72,3,2284.98,2,1,2,212,Silver
13,6,2600.44,4,2,2,422,Platinum
105,2,1618.8300000000002,1,1,1,111,Bronze
277,4,2172.4100000000003,1,1,2,112,Bronze
248,2,714.24,1,1,1,111,Bronze
7,6,4580.349999999999,4,2,4,424,Platinum
2,11,4242.34,4,4,4,444,Platinum
199,7,2754.81,1,3,2,132,Bronze
52,9,4204.6,2,4,4,244,Silver
24,5,2185.5099999999998,3,2,2,322,Gold
53,4,2223.5499999999997,2,1,2,212,Silver
31,4,2258.1899999999996,3,1,2,312,Gold
132,4,1270.2099999999998,1,1,1,111,Bronze
97,7,2991.86,1,3,3,133,Bronze
90,3,2562.4700000000003,1,1,2,112,Bronze
53,6,3293.38,2,2,3,223,Silver
19,5,3603.85,3,2,3,323,Gold
10,3,1397.8999999999999,4,1,1,411,Gold
43,12,6629.570000000001,3,4,4,344,Gold
221,2,484.9599999999999,1,1,1,111,Bronze
199,4,1071.53,1,1,1,111,Bronze
1,6,3493.8,4,2,3,423,Platinum
33,9,6630.72,3,4,4,344,Gold
184,3,2011.1599999999999,1,1,2,112,Bronze
85,3,3836.34,2,1,3,213,Silver
61,5,1830.39,2,2,1,221,Silver
131,7,3535.56,1,3,3,133,Bronze
206,3,1854.78,1,1,2,112,Bronze
58,5,1423.4399999999998,2,2,1,221,Silver
77,5,2568.76,2,2,2,222,Silver
49,7,3148.1,2,3,3,233,Silver
69,6,4661.959999999999,2,2,4,224,Silver
2,8,5025.64,4,4,4,444,Platinum
55,6,2488.5299999999997,2,2,2,222,Silver
58,10,7137.62,2,4,4,244,Silver
85,8,4050.1099999999997,2,4,3,243,Silver
36,4,2168.73,3,1,2,312,Gold
46,9,3399.91,2,4,3,243,Silver
3,8,3500.44,4,4,3,443,Platinum
1,5,2115.47,4,2,2,422,Platinum
3,6,2098.59,4,2,2,422,Platinum
18,9,6120.46,4,4,4,444,Platinum
42,4,3620.88,3,1,3,313,Gold
92,4,1695.9999999999998,1,1,1,111,Bronze
20,4,2313.4299999999994,3,1,2,312,Gold
309,2,1202.3899999999999,1,1,1,111,Bronze
65,7,3378.35,2,3,3,233,Silver
103,8,1981.3,1,4,2,142,Bronze
2,9,6126.810000000001,4,4,4,444,Platinum
266,3,1627.6899999999998,1,1,1,111,Bronze
93,3,1636.8900000000003,1,1,1,111,Bronze
90,3,3352.89,1,1,3,113,Bronze
